20	2156
20,05	2182
20,1	2155
20,15	2052
20,2	2130
20,25	2134
20,3	2094
20,35	2117
20,4	2153
20,45	2093
20,5	2081
20,55	2103
20,6	2076
20,65	2145
20,7	2027
20,75	2161
20,8	2134
20,85	2085
20,9	2049
20,95	2058
21	2051
21,05	2071
21,1	2165
21,15	2101
21,2	2140
21,25	2113
21,3	2096
21,35	2059
21,4	2067
21,45	2045
21,5	2044
21,55	2077
21,6	2089
21,65	2016
21,7	2026
21,75	1978
21,8	2049
21,85	1953
21,9	2029
21,95	2050
22	2095
22,05	2003
22,1	2001
22,15	1987
22,2	1971
22,25	2056
22,3	2029
22,35	1934
22,4	1967
22,45	1943
22,5	2077
22,55	1985
22,6	1925
22,65	1930
22,7	1951
22,75	1982
22,8	1955
22,85	1995
22,9	2081
22,95	1916
23	1842
23,05	1933
23,1	1897
23,15	1921
23,2	2017
23,25	1902
23,3	1935
23,35	1945
23,4	1886
23,45	1931
23,5	1813
23,55	1820
23,6	1905
23,65	1891
23,7	1885
23,75	1821
23,8	1886
23,85	1826
23,9	1832
23,95	1874
24	1861
24,05	1889
24,1	1838
24,15	1817
24,2	1809
24,25	1861
24,3	1870
24,35	1839
24,4	1843
24,45	1847
24,5	1814
24,55	1807
24,6	1796
24,65	1854
24,7	1731
24,75	1775
24,8	1764
24,85	1809
24,9	1777
24,95	1829
25	1749
25,05	1761
25,1	1716
25,15	1779
25,2	1803
25,25	1805
25,3	1789
25,35	1797
25,4	1679
25,45	1717
25,5	1737
25,55	1828
25,6	1748
25,65	1855
25,7	2016
25,75	2151
25,8	2101
25,85	2127
25,9	1851
25,95	1759
26	1776
26,05	1659
26,1	1670
26,15	1672
26,2	1741
26,25	1684
26,3	1692
26,35	1675
26,4	1706
26,45	1669
26,5	1701
26,55	1624
26,6	1684
26,65	1718
26,7	1714
26,75	1808
26,8	1660
26,85	1691
26,9	1688
26,95	1617
27	1665
27,05	1593
27,1	1628
27,15	1670
27,2	1591
27,25	1692
27,3	1604
27,35	1606
27,4	1651
27,45	1667
27,5	1648
27,55	1530
27,6	1591
27,65	1540
27,7	1599
27,75	1656
27,8	1586
27,85	1675
27,9	1649
27,95	1657
28	1549
28,05	1636
28,1	1650
28,15	1563
28,2	1605
28,25	1486
28,3	1594
28,35	1609
28,4	1668
28,45	1526
28,5	1563
28,55	1630
28,6	1561
28,65	1519
28,7	1530
28,75	1577
28,8	1508
28,85	1690
28,9	1571
28,95	1557
29	1527
29,05	1556
29,1	1489
29,15	1520
29,2	1513
29,25	1498
29,3	1515
29,35	1459
29,4	1554
29,45	1506
29,5	1501
29,55	1500
29,6	1573
29,65	1453
29,7	1560
29,75	1519
29,8	1579
29,85	1440
29,9	1478
29,95	1552
30	1497
30,05	1480
30,1	1523
30,15	1478
30,2	1529
30,25	1468
30,3	1449
30,35	1550
30,4	1409
30,45	1391
30,5	1450
30,55	1447
30,6	1477
30,65	1448
30,7	1484
30,75	1478
30,8	1445
30,85	1370
30,9	1420
30,95	1428
31	1455
31,05	1475
31,1	1436
31,15	1461
31,2	1398
31,25	1474
31,3	1441
31,35	1403
31,4	1394
31,45	1403
31,5	1465
31,55	1405
31,6	1339
31,65	1491
31,7	1443
31,75	1395
31,8	1413
31,85	1432
31,9	1419
31,95	1438
32	1433
32,05	1420
32,1	1457
32,15	1400
32,2	1553
32,25	1632
32,3	1787
32,35	1840
32,4	1809
32,45	1777
32,5	1616
32,55	1612
32,6	1377
32,65	1406
32,7	1334
32,75	1383
32,8	1405
32,85	1401
32,9	1366
32,95	1346
33	1422
33,05	1372
33,1	1352
33,15	1367
33,2	1366
33,25	1333
33,3	1336
33,35	1388
33,4	1356
33,45	1344
33,5	1338
33,55	1322
33,6	1268
33,65	1362
33,7	1294
33,75	1291
33,8	1332
33,85	1311
33,9	1223
33,95	1290
34	1265
34,05	1324
34,1	1269
34,15	1299
34,2	1274
34,25	1305
34,3	1245
34,35	1312
34,4	1281
34,45	1299
34,5	1277
34,55	1284
34,6	1275
34,65	1323
34,7	1291
34,75	1276
34,8	1299
34,85	1248
34,9	1321
34,95	1284
35	1309
35,05	1272
35,1	1254
35,15	1408
35,2	1551
35,25	2088
35,3	2613
35,35	2946
35,4	2564
35,45	2070
35,5	1628
35,55	1410
35,6	1284
35,65	1232
35,7	1283
35,75	1277
35,8	1254
35,85	1275
35,9	1285
35,95	1356
36	1393
36,05	1388
36,1	1360
36,15	1309
36,2	1294
36,25	1255
36,3	1182
36,35	1198
36,4	1203
36,45	1239
36,5	1249
36,55	1217
36,6	1201
36,65	1202
36,7	1202
36,75	1222
36,8	1194
36,85	1256
36,9	1187
36,95	1149
37	1174
37,05	1212
37,1	1256
37,15	1225
37,2	1257
37,25	1193
37,3	1187
37,35	1155
37,4	1147
37,45	1180
37,5	1198
37,55	1164
37,6	1155
37,65	1171
37,7	1184
37,75	1097
37,8	1174
37,85	1245
37,9	1414
37,95	1485
38	1539
38,05	1509
38,1	1373
38,15	1224
38,2	1170
38,25	1209
38,3	1181
38,35	1192
38,4	1244
38,45	1261
38,5	1277
38,55	1239
38,6	1217
38,65	1299
38,7	1339
38,75	1360
38,8	1342
38,85	1334
38,9	1399
38,95	1348
39	1397
39,05	1304
39,1	1329
39,15	1375
39,2	1435
39,25	1477
39,3	1495
39,35	1458
39,4	1580
39,45	1610
39,5	1744
39,55	1926
39,6	2190
39,65	2615
39,7	3697
39,75	5459
39,8	8432
39,85	12897
39,9	19796
39,95	26015
40	29909
40,05	29074
40,1	23956
40,15	5577
40,2	3469
40,25	2276
40,3	4552
40,35	3198
40,4	2505
40,45	2061
40,5	1910
40,55	1768
40,6	1561
40,65	1564
40,7	1445
40,75	1387
40,8	1341
40,85	1351
40,9	1298
40,95	1373
41	1268
41,05	1244
41,1	1282
41,15	1202
41,2	1195
41,25	1269
41,3	1227
41,35	1154
41,4	1160
41,45	1208
41,5	1153
41,55	1173
41,6	1194
41,65	1184
41,7	1181
41,75	1253
41,8	1344
41,85	1423
41,9	1370
41,95	1413
42	1194
42,05	1222
42,1	1113
42,15	1189
42,2	1063
42,25	1029
42,3	1117
42,35	1115
42,4	1106
42,45	1126
42,5	1075
42,55	1152
42,6	1044
42,65	1105
42,7	1081
42,75	1072
42,8	1029
42,85	1052
42,9	1069
42,95	1070
43	1016
43,05	1024
43,1	1073
43,15	1089
43,2	1090
43,25	1122
43,3	1103
43,35	1103
43,4	1195
43,45	1484
43,5	1837
43,55	2020
43,6	1897
43,65	1693
43,7	1349
43,75	1138
43,8	1083
43,85	998
43,9	1007
43,95	1004
44	1051
44,05	997
44,1	994
44,15	979
44,2	1012
44,25	1013
44,3	973
44,35	1024
44,4	951
44,45	976
44,5	963
44,55	1057
44,6	989
44,65	976
44,7	993
44,75	1012
44,8	933
44,85	998
44,9	1001
44,95	983
45	997
45,05	944
45,1	965
45,15	1001
45,2	970
45,25	1002
45,3	954
45,35	1038
45,4	923
45,45	987
45,5	926
45,55	965
45,6	887
45,65	947
45,7	968
45,75	907
45,8	967
45,85	909
45,9	1006
45,95	935
46	938
46,05	991
46,1	991
46,15	989
46,2	1060
46,25	1088
46,3	1103
46,35	1143
46,4	1178
46,45	1079
46,5	1080
46,55	1108
46,6	1041
46,65	969
46,7	959
46,75	988
46,8	951
46,85	910
46,9	930
46,95	912
47	894
47,05	884
47,1	881
47,15	936
47,2	903
47,25	879
47,3	868
47,35	925
47,4	898
47,45	905
47,5	880
47,55	940
47,6	910
47,65	856
47,7	924
47,75	874
47,8	810
47,85	864
47,9	862
47,95	843
48	893
48,05	860
48,1	860
48,15	835
48,2	840
48,25	886
48,3	833
48,35	843
48,4	867
48,45	854
48,5	839
48,55	864
48,6	862
48,65	813
48,7	817
48,75	817
48,8	875
48,85	848
48,9	836
48,95	824
49	809
49,05	850
49,1	910
49,15	849
49,2	795
49,25	853
49,3	852
49,35	810
49,4	813
49,45	856
49,5	822
49,55	830
49,6	808
49,65	822
49,7	803
49,75	832
49,8	790
49,85	822
49,9	828
49,95	792
50	829
50,05	824
50,1	795
50,15	862
50,2	820
50,25	782
50,3	841
50,35	783
50,4	810
50,45	792
50,5	812
50,55	797
50,6	784
50,65	777
50,7	790
50,75	840
50,8	796
50,85	820
50,9	814
50,95	818
51	786
51,05	788
51,1	839
51,15	791
51,2	780
51,25	790
51,3	780
51,35	796
51,4	800
51,45	793
51,5	780
51,55	804
51,6	752
51,65	766
51,7	723
51,75	857
51,8	795
51,85	775
51,9	799
51,95	751
52	771
52,05	812
52,1	794
52,15	786
52,2	748
52,25	740
52,3	783
52,35	746
52,4	814
52,45	755
52,5	764
52,55	778
52,6	890
52,65	1077
52,7	1323
52,75	1504
52,8	1381
52,85	1145
52,9	1030
52,95	896
53	850
53,05	766
53,1	760
53,15	753
53,2	743
53,25	783
53,3	763
53,35	767
53,4	731
53,45	734
53,5	710
53,55	713
53,6	745
53,65	711
53,7	763
53,75	725
53,8	698
53,85	712
53,9	722
53,95	720
54	680
54,05	686
54,1	751
54,15	747
54,2	740
54,25	675
54,3	696
54,35	687
54,4	701
54,45	678
54,5	695
54,55	715
54,6	732
54,65	683
54,7	710
54,75	692
54,8	712
54,85	716
54,9	689
54,95	660
55	676
55,05	705
55,1	668
55,15	707
55,2	669
55,25	649
55,3	717
55,35	681
55,4	753
55,45	721
55,5	701
55,55	630
55,6	675
55,65	716
55,7	711
55,75	732
55,8	722
55,85	736
55,9	671
55,95	692
56	728
56,05	717
56,1	650
56,15	716
56,2	747
56,25	705
56,3	629
56,35	654
56,4	645
56,45	696
56,5	670
56,55	652
56,6	701
56,65	683
56,7	717
56,75	671
56,8	623
56,85	610
56,9	644
56,95	675
57	690
57,05	665
57,1	721
57,15	713
57,2	716
57,25	701
57,3	719
57,35	730
57,4	837
57,45	868
57,5	896
57,55	1297
57,6	1990
57,65	2349
57,7	2235
57,75	1926
57,8	1638
57,85	1426
57,9	1099
57,95	818
58	735
58,05	649
58,1	734
58,15	668
58,2	632
58,25	617
58,3	639
58,35	678
58,4	647
58,45	655
58,5	633
58,55	659
58,6	601
58,65	628
58,7	626
58,75	600
58,8	646
58,85	671
58,9	597
58,95	664
59	638
59,05	624
59,1	598
59,15	600
59,2	607
59,25	644
59,3	650
59,35	607
59,4	683
59,45	657
59,5	610
59,55	675
59,6	619
59,65	623
59,7	646
59,75	639
59,8	627
59,85	673
59,9	653
59,95	581
60	656
60,05	
60,1	
60,15	
60,2	
60,25	
60,3	
60,35	
60,4	
60,45	
60,5	
60,55	
60,6	
60,65	
60,7	
60,75	
60,8	
60,85	
60,9	
60,95	
61	
61,05	
61,1	
61,15	
61,2	
61,25	
61,3	
61,35	
61,4	
61,45	
61,5	
61,55	
61,6	
61,65	
61,7	
61,75	
61,8	
61,85	
61,9	
61,95	
62	
62,05	
62,1	
62,15	
62,2	
62,25	
62,3	
62,35	
62,4	
62,45	
62,5	
62,55	
62,6	
62,65	
62,7	
62,75	
62,8	
62,85	
62,9	
62,95	
63	
63,05	
63,1	
63,15	
63,2	
63,25	
63,3	
63,35	
63,4	
63,45	
63,5	
63,55	
63,6	
63,65	
63,7	
63,75	
63,8	
63,85	
63,9	
63,95	
64	
64,05	
64,1	
64,15	
64,2	
64,25	
64,3	
64,35	
64,4	
64,45	
64,5	
64,55	
64,6	
64,65	
64,7	
64,75	
64,8	
64,85	
64,9	
64,95	
65	
65,05	
65,1	
65,15	
65,2	
65,25	
65,3	
65,35	
65,4	
65,45	
65,5	
65,55	
65,6	
65,65	
65,7	
65,75	
65,8	
65,85	
65,9	
65,95	
66	
66,05	
66,1	
